district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31
板橋區,房地(土地+建物),新北市板橋區長江路一段２１２號三樓,18.6,住,,,1110216,土地1建物1車位0,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,870815,111.61,3,2,2,有,有,13500000,120957,,0,0,,RPSRMLLJLHHGFAF77EA,74.05,0,10.18,有
三峽區,土地,麻園段642地號,55.34,,一般農業區,農牧用地,1110221,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,313000,5656,,0,0,地清或未辦繼承標售；,RPROMLMJLHHGFIF18DA,0,0,0,無
永和區,房地(土地+建物),新北市永和區自由街７５號一樓,14.52,商,,,1110212,土地2建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,651231,66.85,0,0,0,無,無,22900000,342558,,0,0,其他增建；,RPQTMLMJLHHGFHF48DA,66.85,0,0,無
永和區,房地(土地+建物),新北市永和區自由街７５號二樓,58.07,商,,,1110212,土地2建物4車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,651231,267.4,2,2,1,有,無,36600000,136874,,0,0,2~5樓格局皆為2房2廳1衛2F價格:950萬3F價格:930萬4F價格:900萬5F價格:880萬其他增建；,RPRUMLMJLHHGFHF68DA,267.4,0,0,無
三重區,房地(土地+建物),新北市三重區重新路一段１２６號十九樓,3.48,,,,1110213,土地1建物1車位0,十九層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011220,62.32,0,0,0,無,有,11600000,186136,,0,0,,RPVOMLLLKHHGFGF38DA,39.71,0.68,3.8,有
三重區,房地(土地+建物)+車位,新北市三重區重新路三段１２８號七樓之三,7.42,商,,,1110210,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,860305,89.59,2,1,1,有,有,9300000,103806,升降機械,12.4,0,親友、員工、共有人或其他特殊關係間之交易；,RPOPMLMJLHHGFGF77DA,49.98,0,12.24,有
三重區,房地(土地+建物),新北市三重區成功路３３號三樓,7.44,商,,,1110209,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,1051205,59.54,1,1,1,有,有,7500000,125966,,0,0,,RPUQMLNJLHHGFGF58DA,30.12,1.28,3.3,有
三重區,房地(土地+建物),新北市三重區成功路３３號四樓,7.44,商,,,1110209,土地1建物1車位0,四層,十層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,1051205,59.54,1,1,1,有,有,8300000,139402,,0,0,,RPQRMLNJLHHGFGF28DA,30.12,1.28,3.3,有
中和區,房地(土地+建物),新北市中和區中山路三段３２巷２弄８號三樓,27.66,住,,,1110212,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670123,78.34,3,2,1,有,無,11057000,141141,,0,0,陽台外推；,RPTUMLMJLHHGFHF88DA,78.34,0,0,無
永和區,房地(土地+建物),新北市永和區豫溪街２０７巷４號,24.5,住,,,1110213,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住商用,Ｒ、Ｃ構架,600722,72.8,3,1,1,有,無,12800000,175824,,0,0,,RPPPMLOJLHHGFHF18DA,72.8,0,0,無
永和區,房地(土地+建物),新北市永和區仁愛路３５２巷９２弄２２號五樓,25.59,住,,,1110208,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,711123,92.8,3,2,1,有,無,10500000,113147,,0,0,其他增建；,RPPSMLSKKHHGFHF88DA,77.31,0,15.49,無
永和區,土地,保生段410-1地號,23.8,都市：其他:道路用地,,,1110222,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2463300,103500,,0,0,地上有第三人占用物包含公共設施保留地用地；,RPRQMLLJLHHGFHF18DA,0,0,0,無
樹林區,土地,備內段105地號,4.9,都市：其他:道路用地,,,1110225,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,111000,22653,,0,0,包含公共設施保留地用地；,RPWRMLPLKHHGFIF76DA,0,0,0,無
三峽區,房地(土地+建物)+車位,新北市三峽區弘園街２８號十樓之一,29.3,住,,,1110214,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050721,147.46,3,2,2,有,有,13880000,94127,坡道平面,21.96,0,,RPTNMLRKKHHGFIF78DA,77.68,2.58,8.37,有
鶯歌區,房地(土地+建物)+車位,新北市鶯歌區高職南街１０號十四樓,18.24,住,,,1110217,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050712,140.89,2,1,1,有,有,8300000,58911,坡道平面,46.15,0,,RPWOMLRKKHHGFIF56DA,49.51,4.58,6.28,有
板橋區,土地,光華段407地號,5.39,都市：其他:道路用地,,,1110217,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1138133,211156,,0,0,包含公共設施保留地用地；,RPVPMLNJLHHGFAF08EA,0,0,0,無
板橋區,房地(土地+建物),新北市板橋區南雅東路８號四樓之２５,4.02,商,,,1110206,土地1建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,861121,32.97,1,0,1,有,有,3950000,119806,,0,0,,RPPQMLNJLHHGFAF57EA,21.57,0,0,有
土城區,土地,大巒段394地號,1177.01,,,,1110225,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,54000000,45879,,0,0,包含公共設施保留地用地；,RPSQMLNJLHHGFAF87EA,0,0,0,無
新莊區,房地(土地+建物),新北市新莊區中港路７３２號,12.82,商,,,1110211,土地1建物1車位0,一層,十八層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1100812,84.95,1,1,1,有,有,23500000,276633,,0,0,,RPXSMLNJLHHGFBF68EA,53.87,0,0,有
新莊區,房地(土地+建物),新北市新莊區中正路８２９巷２２弄３５號,18.08,工,,,1110208,土地6建物1車位0,一層，二層，見其他登記事項,十層,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,830526,134.01,1,2,1,有,有,12650000,94396,,0,0,其他增建；,RPTSMLNJLHHGFBF28EA,109.7,0,5.79,有
新莊區,房地(土地+建物),新北市新莊區新興街４８巷１４號三樓,20.86,住,,,1110213,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,570410,68,2,2,1,有,無,5750000,84559,,0,0,,RPUPMLOJLHHGFBF18EA,68,0,0,無
新莊區,房地(土地+建物)+車位,新北市新莊區福美街１８５號五樓,22,住,,,1110210,土地1建物1車位1,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070823,133.09,2,2,2,有,有,20630000,177651,坡道平面,29.91,2300000,,RPVPMLOJLHHGFBF28EA,62.74,0,5.16,有
新莊區,車位,新北市新莊區福營路３２６號地下一層,4.58,工,,,1110219,土地3建物1車位1,地下一層,十層,其他,一般廠房附屬停車空間,鋼筋混凝土造,830526,30.81,0,0,0,有,有,1200000,,坡道平面,26.53,1200000,僅車位交易；,RPWOMLNJLHHGFBF18EA,0,0,0,有
新莊區,車位,新北市新莊區福營路３２６號地下一層,4.58,工,,,1110219,土地3建物1車位1,地下一層,十層,其他,一般廠房附屬停車空間,鋼筋混凝土造,830526,30.81,0,0,0,有,有,1250000,,坡道平面,26.53,1250000,僅車位交易；,RPXOMLNJLHHGFBF28EA,0,0,0,有
新莊區,車位,新北市新莊區福營路３２６號地下一層,4.58,工,,,1110219,土地3建物1車位1,地下一層,十層,其他,一般廠房附屬停車空間,鋼筋混凝土造,830526,30.81,0,0,0,有,有,1250000,,坡道平面,26.53,1250000,僅車位交易；,RPOPMLNJLHHGFBF47EA,0,0,0,有
新莊區,房地(土地+建物),新北市新莊區思源路２０１號四樓,20.83,住,,,1110221,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660615,64,2,1,1,有,無,4450000,69531,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOSMLNJLHHGFBF77EA,64,0,0,無
林口區,土地,南勢埔段南勢埔尾小段36-2地號,1021,農,,,1110215,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,54000000,52889,,0,0,未登記建物；,RPPSMLMJLHHGFBF77EA,0,0,0,無
