district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31
汐止區,土地,北峰段1009地號,20.56,,山坡地保育區,殯葬用地,1110301,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,53001,2578,,0,0,地清或未辦繼承標售；,RPVNMLMJLHHGFDF08EA,0,0,0,無
金山區,土地,永興段1814地號,42.43,農,,,1110302,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,80000,1885,,0,0,地清或未辦繼承標售；,RPQNMLOJLHHGFDF67DA,0,0,0,無
三芝區,土地,大湖段707地號,320.9,,山坡地保育區,丙種建築用地,1110301,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,6140000,19134,,0,0,,RPTNMLSJLHHGFEF58EA,0,0,0,無
淡水區,車位,新北市淡水區民權路１９３之１號,1.72,商,,,1110302,土地1建物1車位1,一層,二十九層,其他,一般零售業,鋼筋混凝土造,1000613,24.96,0,0,0,有,有,1700000,,坡道平面,24.97,1700000,僅車位交易；,RPQOMLSKKHHGFEF28DA,0,0,0,有
新莊區,房地(土地+建物),新北市新莊區後港一路２８巷３弄１號,31.83,住,,,1110302,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,790525,119.38,0,2,2,有,無,4257323,35662,,0,0,二親等間買賣，按土地公告現值及房屋評定現值為買賣價。親友、員工、共有人或其他特殊關係間之交易；其他增建；未登記建物；,RPXNMLMJLHHGFBF97DA,96.7,9.39,0,無
瑞芳區,房地(土地+建物),新北市瑞芳區明燈路三段２７號,46.39,住,,,1110301,土地1建物1車位0,全,二層,透天厝,商業用,加強磚造,,66.5,6,3,3,有,無,2400000,36090,,0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPQNMLSJLHHGFFF28DA,66.5,0,0,無
土城區,車位,新北市土城區學享街６０號,0.16,住,,,1110302,土地2建物1車位1,一層,十四層,其他,店鋪,鋼筋混凝土造,971111,20.48,0,0,0,有,有,1000000,,坡道機械,20.48,1000000,親友、員工、共有人或其他特殊關係間之交易；僅車位交易；,RPUOMLOJLHHGFAF87DA,0,0,0,有
三峽區,土地,東眼段東眼小段18-6地號,1002,,森林區,林業用地,1110301,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,8200000,8184,,0,0,1.農地買賣2.本標的旁鄰地上有未保存登記建物一併移轉,RPVNMLSJLHHGFIF09DA,0,0,0,無
中和區,房地(土地+建物),新北市中和區立人街１４巷１０號三樓之一,7.08,住,,,1110206,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,860717,28.89,1,1,1,有,有,5350000,185185,,0,0,,RPWNMLLKKHHGFHF48EA,22.51,0,0,有
新莊區,土地,公正段208-4地號,10.93,都市：其他:道路用地,,,1110207,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1180000,107960,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXRMLOKKHHGFBF58DA,0,0,0,無
汐止區,房地(土地+建物),新北市汐止區秀峰路１０７號３樓,42.67,住,,,1110208,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,650608,71.16,2,1,1,有,無,5500000,77291,,0,0,含地政士服務費15000元；親友、員工、共有人或其他特殊關係間之交易；,RPPOMLSKKHHGFDF18EA,71.16,0,0,無
汐止區,土地,北峰段1112地號,2865.55,,山坡地保育區,林業用地,1110210,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,3468000,1210,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXOMLOKKHHGFDF58EA,0,0,0,無
中和區,車位,新北市中和區中正路７９９號等公共設施,0,,,,1110207,土地0建物1車位1,,,其他,,,,32.4,0,0,0,有,有,2000000,,坡道平面,32.4,2000000,親友、員工、共有人或其他特殊關係間之交易；僅車位交易；,RPPNMLPKKHHGFHF18EA,0,0,0,有
中和區,車位,新北市中和區中正路７９９號等公共設施,0,,,,1110207,土地0建物1車位1,,,其他,,,,32.4,0,0,0,有,有,2000000,,坡道平面,32.4,2000000,親友、員工、共有人或其他特殊關係間之交易；僅車位交易；,RPQNMLPKKHHGFHF28EA,0,0,0,有
瑞芳區,土地,四腳亭段楓子瀨小段19地號,13.58,,山坡地保育區,丙種建築用地,1110209,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,164348,12102,,0,0,,RPQNMLKKKHHGFFF57EA,0,0,0,無
新店區,車位,新北市新店區北宜路二段１２３號地下一層等共同使用,0.29,住,,,1110208,土地1建物1車位1,,,其他,,,,4.4,0,0,0,有,有,60000,,坡道平面,4.4,60000,機車位交易僅車位交易；,RPQRMLPKKHHGFCF18EA,0,0,0,有
汐止區,車位,新北市汐止區福安街４３號等公共設施,0,,,,1110210,土地0建物1車位1,,,其他,,,,30.2,0,0,0,有,有,1600000,,坡道平面,30.2,1600000,僅車位交易；,RPTOMLPKKHHGFDF18DA,0,0,0,有
土城區,房地(土地+建物)+車位,新北市土城區明德路一段２９１巷１５號五樓,20.1,住,,,1110205,土地1建物1車位1,五層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,990323,114.32,1,1,1,有,有,8750000,76540,升降平面,55,0,,RPSPMLOKKHHGFAF77DA,35.08,0,5.76,有
五股區,土地,更寮段更寮小段2-17地號,33.06,,一般農業區,農牧用地,1110210,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1500000,45372,,0,0,,RPRVMLLKKHHGFBF08DA,0,0,0,無
三芝區,房地(土地+建物),新北市三芝區淡金路二段８７巷１號二樓之１２,4.24,住,,,1110210,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870304,33.4,1,0,1,有,有,1225000,36677,,0,0,,RPOQMLQKKHHGFEF08DA,22.04,0,4.16,有
板橋區,房地(土地+建物)+車位,新北市板橋區華江三路４０號二樓,6.42,住,,,1110210,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090624,56.71,2,2,1,有,有,5900000,104056,坡道平面,17.94,0,親友、員工、共有人或其他特殊關係間之交易；,RPQQMLQKKHHGFAF97EA,22.82,1.39,1.77,有
瑞芳區,土地,四腳亭段楓子瀨小段19地號,108.66,,山坡地保育區,丙種建築用地,1110209,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,1314786,12100,,0,0,,RPRNMLKKKHHGFFF67EA,0,0,0,無
八里區,土地,龍米段104地號,2199,都市：其他:保護區,,,1110215,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,10680000,4857,,0,0,地清或未辦繼承標售；,RPOOMLRKKHHGFEF08EA,0,0,0,無
中和區,土地,中安段367地號,3.2,都市：其他:道路用地,,,1110209,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,312000,97500,,0,0,包含公共設施保留地用地；,RPXNMLQKKHHGFHF09EA,0,0,0,無
永和區,土地,林森段735-2地號,18.78,都市：其他:道路用地,,,1110208,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,2783280,148204,,0,0,僅土地交易包含公共設施保留地用地；,RPUOMLQKKHHGFHF88EA,0,0,0,無
永和區,土地,頂溪段694地號,4.64,都市：其他:道路用地,,,1110208,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,516366,111286,,0,0,包含公共設施保留地用地；,RPVOMLQKKHHGFHF98EA,0,0,0,無
萬里區,房地(土地+建物),新北市萬里區仁四街５號３樓,18.45,,鄉村區,乙種建築用地,1110209,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,690627,63.65,3,2,1,有,無,1338000,21021,,0,0,,RPUOMLKKKHHGFDF77DA,60.13,0,3.52,無
汐止區,車位,新北市汐止區汐萬路二段２２８巷３１弄１號２樓,5.13,,山坡地保育區,丙種建築用地,1110210,土地1建物1車位1,一層，二層，地下一層,十五層,其他,停車空間,鋼筋混凝土造,850627,37.42,0,0,0,有,有,680000,,坡道平面,37.41,680000,僅車位交易；,RPROMLRKKHHGFDF18DA,0,0,0,有
瑞芳區,土地,明燈段580地號,67.1,住,,,1110207,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,5500000,81967,,0,0,未登記建物；,RPXNMLQKKHHGFFF78DA,0,0,0,無
淡水區,房地(土地+建物),新北市淡水區大忠街８５號四樓之３,5,住,,,1110210,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,790828,28.88,1,1,1,有,有,1700000,58864,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPPMLRKKHHGFEF18DA,16.8,0,3.23,有
林口區,車位,新北市林口區中山路９７巷１０號二樓等,0.26,商,,,1110209,土地1建物1車位2,,,其他,,,,69.33,0,0,0,有,有,3000000,,坡道平面,69.34,3000000,僅車位交易；,RPTWMLRKKHHGFBF98DA,0,0,0,有
林口區,車位,新北市林口區中山路９７巷１０號二樓等,0.51,商,,,1110209,土地1建物1車位4,,,其他,,,,138.67,0,0,0,有,有,5800000,,坡道平面,138.68,5800000,僅車位交易；,RPVWMLRKKHHGFBF56DA,0,0,0,有
新莊區,房地(土地+建物),新北市新莊區昌平街６９號十五樓,13.2,住,,,1110210,土地1建物1車位0,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840713,103.25,3,2,2,有,有,10000000,96852,,0,0,,RPWPMLQKKHHGFBF48DA,62.91,0,8.67,有
泰山區,土地,泰山段三小段259地號,9.08,住,,,1110212,土地8建物0車位0,,,其他,,,,0,0,0,0,有,無,935000,102974,,0,0,具重建或重劃、都更等效益；,RPOWMLLKKHHGFBF87DA,0,0,0,無
中和區,土地,景平段25-1地號,65.37,都市：其他:人行步道,,,1110210,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,6162464,94271,,0,0,,RPUNMLRKKHHGFHF88EA,0,0,0,無
永和區,車位,新北市永和區永平路２１８巷２３號地下一層,6.93,住,,,1110209,土地1建物1車位1,地下層,八層,其他,管理員室。,鋼筋混凝土造,840809,41.41,0,0,0,有,有,2000000,,坡道平面,41.41,2000000,僅車位交易；,RPQOMLRKKHHGFHF58EA,0,0,0,有
淡水區,房地(土地+建物)+車位,新北市淡水區中正路二段１８號四樓之２,20.14,商,,,1110209,土地1建物1車位1,四層,二十三層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,980713,292.55,3,2,2,有,有,25000000,85455,坡道平面,34.79,0,,RPQNMLSKKHHGFEF28EA,161.26,0,25.56,有
淡水區,土地,興仁段459-1地號,196,,特定農業區,特定目的事業用地,1110209,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,3083080,15730,,0,0,,RPQNMLRKKHHGFEF18EA,0,0,0,無
淡水區,車位,新北市淡水區淡金路１８、２０、２２、２４、２６、２８、３０、３２號及淡金路１６巷１、３、５、７、９、１１、１３、１５、１７、１９、２１、２３、２５號之地下室底三層,0.69,住,,,1110207,土地1建物1車位1,地下三層,二十二層,其他,防空避難室兼停車場,鋼筋混凝土造,821224,51.14,0,0,0,有,有,1000000,,坡道平面,51.13,1000000,僅車位交易；,RPXOMLSKKHHGFEF09EA,0,0,0,有
瑞芳區,土地,四腳亭段楓子瀨小段139-6地號,35.25,,山坡地保育區,農牧用地,1110217,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,179140,5082,,0,0,,RPSNMLLLKHHGFFF97EA,0,0,0,無
板橋區,土地,民生段64地號,184.06,,,,1110209,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,8000000,43464,,0,0,本交易總價含111年收件字號板樹登字號005150號之標的。包含公共設施保留地用地；,RPSQMLQKKHHGFAF18EA,0,0,0,無
鶯歌區,土地,永吉段723地號,50.77,住,,,1110211,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,3990000,78590,,0,0,,RPPNMLPKKHHGFIF18DA,0,0,0,無
中和區,房地(土地+建物),新北市中和區景平路１８２號十四樓之六,2,都市：其他:住宅區,,,1110210,土地3建物1車位0,十四層,四十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,861104,34.81,0,0,0,無,有,5200000,149382,,0,0,,RPVPMLRKKHHGFHF09DA,26.83,0,0,有
三芝區,房地(土地+建物),新北市三芝區樂全街１１８號三樓,16.93,,山坡地保育區,丙種建築用地,1110208,土地1建物1車位0,三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850529,42.58,1,0,1,有,有,990000,23250,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTPMLLLKHHGFEF18EA,32.38,0.38,3.92,有
中和區,車位,新北市中和區秀朗路三段５４號等建築物之地下室,0.13,住,,,1110209,土地1建物1車位1,地下層,七層,其他,防空避難室、停車場,鋼筋混凝土造,830722,24.95,0,0,0,有,無,1800000,,坡道平面,24.95,1800000,僅車位交易；,RPRNMLSKKHHGFHF68EA,0,0,0,有
五股區,房地(土地+建物)+車位,新北市五股區芳洲一路８２號六樓,32.15,住,,,1110208,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100716,161.79,3,2,2,有,有,16480000,107675,坡道平面,28.24,2100000,,RPUNMLSKKHHGFBF28DA,79.79,0,8.06,有
淡水區,房地(土地+建物),新北市淡水區新民街１８０巷７弄１３號三樓,8.06,住,,,1110212,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,780822,35,1,0,1,有,無,1400000,40000,,0,0,,RPUQMLLLKHHGFEF28DA,21.97,0,3.43,無
淡水區,房地(土地+建物)+車位,新北市淡水區坪頂路７號十一樓,15.42,商,,,1110210,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060328,184.22,2,2,2,有,有,17200000,118046,升降平面,48.68,1200000,含租約；,RPRNMLMKKHHGFEF67DA,73.49,9.27,5.98,有
三芝區,房地(土地+建物),新北市三芝區淡金路二段８７巷２號七樓之５,3.86,住,,,1110212,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870304,33.08,1,0,1,有,有,1200000,36276,,0,0,,RPQPMLLLKHHGFEF77DA,21.95,0,3.98,有
新莊區,房地(土地+建物)+車位,新北市新莊區中平路１１０巷３６號七樓,27.84,住,,,1110211,土地1建物1車位1,七層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,800206,216.91,4,2,2,有,有,19000000,94703,坡道平面,35.29,1800000,,RPOVMLKKKHHGFBF67DA,154.93,0.59,16.15,有
永和區,土地,民治段630地號,119.98,都市：其他:道路用地,,,1110214,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,12000000,100017,,0,0,包含公共設施保留地用地；,RPSSMLLLKHHGFHF68EA,0,0,0,無
淡水區,房地(土地+建物),新北市淡水區民權路６７號八樓之２,3.35,住,,,1110209,土地1建物1車位0,八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850203,41.85,1,0,1,有,有,4820000,115173,,0,0,,RPUOMLSKKHHGFEF78EA,28.22,0,5.34,有
汐止區,車位,新北市汐止區樟樹二路３４２巷８號地下一層,0.79,住,,,1110214,土地1建物1車位1,地下一層,十四層,其他,見使用執照,鋼筋混凝土造,840418,36.76,0,0,0,有,有,1050000,,坡道平面,36.76,1050000,僅車位交易；,RPOOMLLLKHHGFDF47EA,0,0,0,有
汐止區,車位,康寧街１４１巷５３號地下一層,0.29,住,,,1110215,土地1建物1車位1,地下一層,十三層,其他,見使用執照,鋼筋混凝土造,840824,38.22,0,0,0,無,有,2000000,,坡道平面,38.22,2000000,僅車位交易；,RPVOMLLLKHHGFDF18EA,0,0,0,有
汐止區,房地(土地+建物)+車位,新北市汐止區建成路２８巷２號,15.31,住,,,1110208,土地1建物1車位1,一層,十七層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,850624,117.05,0,0,0,無,有,17100000,146091,坡道平面,0,0,,RPUNMLMLKHHGFDF08EA,54.93,6.97,0,有
新莊區,車位,新北市新莊區中平路１１０巷３６號地下二、三層,0,,,,1110207,土地0建物1車位1,地下二層，地下三層，見其他登記事項,二十一層,其他,防空避難室兼停車場,鋼筋混凝土造,800309,35.29,0,0,0,有,有,2000000,,坡道平面,35.29,2000000,親友、員工、共有人或其他特殊關係間之交易；僅車位交易；,RPPRMLMLKHHGFBF77EA,0,0,0,有
新莊區,車位,新北市新莊區福營路３２６號地下一層,4.58,工,,,1110214,土地3建物1車位1,地下一層,十層,其他,一般廠房附屬停車空間,鋼筋混凝土造,830526,30.81,0,0,0,有,有,1150000,,坡道平面,0,1150000,僅車位交易；,RPPTMLSKKHHGFBF48EA,0,0,0,有
樹林區,房地(土地+建物)+車位,新北市樹林區大安路６０６號二樓,16.19,工,,,1110209,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,980317,158.77,3,2,2,有,有,12500000,78730,坡道平面,24.45,0,其他增建；,RPTNMLSKKHHGFIF88DA,87.13,0,9.5,有
蘆洲區,土地,復興段80地號,160.78,農,,,1110211,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,17022140,105872,,0,0,,RPPNMLNKKHHGFGF77DA,0,0,0,無
三重區,房地(土地+建物),新北市三重區成功路５０巷３號十樓,21.34,住,,,1110207,土地1建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971006,100.68,3,2,1,有,有,14800000,147000,,0,0,陽台外推；其他增建；,RPSQMLRJKHHGFGF68DA,62.11,4.86,10.5,有
新莊區,車位,新北市新莊區福營路３２６號地下一層,4.58,工,,,1110212,土地3建物1車位1,地下一層,十層,其他,一般廠房附屬停車空間,鋼筋混凝土造,830526,30.81,0,0,0,有,有,1150000,,坡道平面,30.81,1150000,僅車位交易；,RPPOMLMLKHHGFBF47EA,0,0,0,有
新莊區,車位,新北市新莊區福營路３２６號地下一層,4.58,工,,,1110212,土地3建物1車位1,地下一層,十層,其他,一般廠房附屬停車空間,鋼筋混凝土造,830526,30.81,0,0,0,有,有,1150000,,坡道平面,30.81,1150000,僅車位交易；,RPQOMLMLKHHGFBF57EA,0,0,0,有
林口區,房地(土地+建物),新北市林口區信義路３７２號十樓之一,7.11,住,,,1110210,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070125,49.98,1,0,1,有,有,5880000,117647,,0,0,其他增建；,RPVQMLMLKHHGFBF28EA,27.94,2.14,3.15,有
八里區,土地,龍米段1711地號,32.34,都市：其他:第二種保護區,,,1110215,土地6建物0車位0,,,其他,,,,0,0,0,0,有,無,184484,5705,,0,0,,RPTRMLLLKHHGFEF38EA,0,0,0,無
三芝區,土地,埔坪段454地號,99.87,住,,,1110215,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2266000,22689,,0,0,,RPPNMLNLKHHGFEF77EA,0,0,0,無
淡水區,房地(土地+建物),新北市淡水區水源街一段１４８號三樓,15.33,住,,,1110207,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680411,54.84,4,2,1,有,無,3000000,54705,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLNLKHHGFEF87EA,54.84,0,0,無
三重區,房地(土地+建物),新北市三重區重新路五段５０９之２號十六樓,4.61,,,,1110208,土地1建物1車位0,十六層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990304,54.12,1,1,1,有,有,9500000,175536,,0,0,夾層；,RPRNMLMLKHHGFGF08EA,30.68,0,3.59,有
樹林區,房地(土地+建物)+車位,新北市樹林區大安路２７５號十一樓,9.72,住,,,1110209,土地2建物1車位2,十一層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,891222,89.81,6,2,3,有,有,5000000,55667,坡道平面,17.34,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLMLKHHGFIF18EA,51.05,0.47,6.62,有
中和區,土地,安邦段845地號,101.69,,,,1110211,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,8756831,86113,,0,0,包含公共設施保留地用地；,RPSNMLMLKHHGFHF28EA,0,0,0,無
永和區,土地,水源段146地號,25.14,都市：其他:道路用地,,,1110216,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,7200000,286396,,0,0,包含公共設施保留地用地；,RPSPMLMLKHHGFHF48EA,0,0,0,無
土城區,土地,員仁段869-2地號,85.57,工,,,1110208,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,14000000,163609,,0,0,,RPQOMLMLKHHGFAF37DA,0,0,0,無
土城區,車位,新北市土城區學享街６０號,0.31,住,,,1110208,土地2建物1車位2,一層,十四層,其他,店鋪,鋼筋混凝土造,971111,40.96,0,0,0,有,有,1760000,,坡道機械,38.88,1760000,含租約；僅車位交易；,RPRNMLTJKHHGFAF87DA,0,0,0,有
新莊區,土地,中泰段197地號,66.12,住,,,1110211,土地1建物0車位0,,,其他,,,,0,0,0,0,無,無,9000000,136116,,0,0,,RPQWMLLKKHHGFBF08DA,0,0,0,無
淡水區,土地,天元段558地號,118.02,,山坡地保育區,農牧用地,1110210,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,1080000,9151,,0,0,,RPSQMLOKKHHGFEF28DA,0,0,0,無
石門區,土地,頭圍段八甲小段222-10地號,2877,,一般農業區,農牧用地,1110209,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,3500000,1217,,0,0,,RPVTMLKKKHHGFEF48DA,0,0,0,無
瑞芳區,房地(土地+建物),新北市瑞芳區員山子路員山巷２８號三樓,27.21,,鄉村區,乙種建築用地,1110213,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,871124,81.89,4,2,2,有,有,2700000,32971,,0,0,,RPPOMLOKKHHGFFF87DA,60.02,0,3.54,無
汐止區,車位,新北市汐止區福德二路３５３號地下一層,11.13,工,,,1110207,土地2建物1車位1,地下一層,六層,其他,防空避難室兼停車場,鋼筋混凝土造,810701,51.2,0,0,0,有,無,850000,,坡道平面,51.21,850000,僅車位交易；,RPVNMLMLKHHGFDF08DA,0,0,0,無
汐止區,房地(土地+建物),新北市汐止區大同路二段２８１號２１樓之４,9.45,住,,,1110213,土地1建物1車位0,二十一層，二十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840126,111.23,3,2,2,有,有,13600000,122269,,0,0,陽台外推；,RPWNMLSKKHHGFDF68DA,82.78,0,19.9,有
汐止區,房地(土地+建物),新北市汐止區樟樹二路３４２巷６號９樓之１,5.4,住,,,1110207,土地1建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840418,39.25,1,0,1,有,有,4700000,119745,,0,0,,RPPOMLMLKHHGFDF57DA,29.82,0,4.75,有
汐止區,車位,新北市汐止區建成路５８號地下三層,0.64,商,,,1110214,土地2建物1車位1,地下三層,二十四層,其他,停車空間,鋼筋混凝土造,871128,17.97,0,0,0,有,有,610000,,坡道機械,17.96,610000,含土地增值稅或其他稅費；含地政士服務費；其他；僅車位交易；,RPPNMLPKKHHGFDF67DA,0,0,0,有
石碇區,土地,豐林段1289地號,13.12,,山坡地保育區,林業用地,1110214,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,30000,2287,,0,0,,RPOPMLSKKHHGFCF97DA,0,0,0,無
石碇區,土地,豐林段1267地號,1671.03,,山坡地保育區,農牧用地,1110213,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,2440000,1460,,0,0,,RPTPMLSKKHHGFCF48DA,0,0,0,無
新店區,車位,新北市新店區寶橋路７８巷１０號等,0.15,住,,,1110210,土地1建物1車位1,,,其他,,,,24.42,0,0,0,有,有,1670000,,坡道平面,24.42,1670000,僅車位交易；預售屋、或土地及建物分件登記案件；,RPQNMLLKKHHGFCF27DA,0,0,0,有
汐止區,車位,新北市汐止區大同路二段２７３、２７５、２７７、２７９、２８１、２８３、２８５、２７３之１、２７３之２、２７９之１、２７９之２、２８１之１、２８１之２、２８１之３、２８３之１、２８３之２號建築物地下二層。,0.86,住,,,1110215,土地1建物1車位1,地下二層,二十四層,其他,見使用執照,鋼筋混凝土造,840126,33.84,0,0,0,有,有,1750000,,坡道平面,0,1750000,僅車位交易；,RPPNMLLLKHHGFDF37DA,0,0,0,有
汐止區,車位,新北市汐止區樟樹二路２８６之１號等共同使用,0.64,住,,,1110216,土地1建物1車位1,,,其他,,,,35.61,0,0,0,有,有,1700000,,坡道平面,35.61,1700000,僅車位交易；,RPUNMLNLKHHGFDF08DA,0,0,0,有
汐止區,房地(土地+建物),新北市汐止區鄉長路一段５５巷２４號１２樓,20.75,住,,,1110215,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870710,135.71,3,2,2,有,有,12500000,92108,,0,0,,RPPNMLOLKHHGFDF67DA,89.14,3.34,11.87,有
貢寮區,房地(土地+建物)+車位,新北市貢寮區保健街３７巷２弄６號七樓,30.42,住,,,1110218,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,860125,168.94,3,2,2,有,有,2450000,14502,坡道平面,0,0,,RPQNMLSKKHHGFFF28DA,97.87,0,8.07,有
三芝區,房地(土地+建物),新北市三芝區中興街二段１０５巷１號五樓,41.84,農,,,1110211,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,820108,133.05,4,2,2,有,無,3300000,24805,,0,0,,RPSOMLOLKHHGFEF18DA,118.23,0,11.66,無
板橋區,房地(土地+建物),新北市板橋區大明街６３巷１弄２２號三樓,26.6,住,,,1110208,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,74.04,2,2,1,有,無,8500000,114803,,0,0,,RPPNMLTJKHHGFAF67DA,74.04,0,0,無
土城區,土地,員仁段878地號,883.74,工,,,1110211,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,171000000,193496,,0,0,,RPSOMLMLKHHGFAF57DA,0,0,0,無
中和區,車位,新北市中和區成功路１３１號地下一層,0.43,住,,,1110216,土地1建物1車位1,地下一層，地下二層，地下三層，地下四層,三十三層,其他,室內停車位、防空避難室,鋼骨鋼筋混凝土造,860322,26.64,0,0,0,有,有,1350000,,坡道機械,26.64,1350000,僅車位交易；,RPRNMLNLKHHGFHF28EA,0,0,0,有
中和區,房地(土地+建物),新北市中和區南山路１７６之２號二樓,19.04,住,,,1110207,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,881029,88.53,2,2,1,有,有,13260000,149780,,0,0,陽台外推；其他增建；,RPSNMLNLKHHGFHF38EA,59.79,0,12.79,有
中和區,車位,新北市中和區秀朗路三段１７７，１７９號及１７５巷６，１２號（１６無本號）地下一層１７７，１７９號及１７５巷２，６，８，１０，１２，１４，（１６無本號）地下二，三，四層,0.15,,,,1110216,土地7建物1車位1,地下一層，地下二層，地下三層，地下四層,二十三層,其他,停車空間、防空避難室,鋼筋混凝土造,850108,43.83,0,0,0,有,無,1940000,,坡道平面,43.83,1940000,僅車位交易；,RPTNMLNLKHHGFHF48EA,0,0,0,無
中和區,房地(土地+建物)+車位,新北市中和區壽德街２２號七樓,27,住,,,1110207,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,900314,148.86,3,2,2,有,有,16400000,110171,坡道平面,0,0,車位兩年抽一次,RPXNMLNLKHHGFHF88EA,81.51,0,11.98,有
